word;n.total;r
de;940021;1
la;628082;0.999987260335053
que;604255;0.999974520670106
y;571539;0.99996178100516
el;454355;0.999949041340213
a;433446;0.999936301675266
en;408495;0.999923562010319
no;257839;0.999910822345372
se;254012;0.999898082680425
los;253831;0.999885343015479
un;224530;0.999872603350532
con;179510;0.999859863685585
una;175709;0.999847124020638
las;169975;0.999834384355692
por;168252;0.999821644690745
su;148573;0.999808905025798
lo;145057;0.999796165360851
del;139646;0.999783425695904
me;120581;0.999770686030957
al;117382;0.999757946366011
es;111492;0.999745206701064
para;108119;0.999732467036117
le;93932;0.99971972737117
pero;93781;0.999706987706223
como;86953;0.999694248041276
más;85542;0.99968150837633
había;69839;0.999668768711383
mi;64203;0.999656029046436
sus;61765;0.999643289381489
si;60864;0.999630549716542
era;54127;0.999617810051596
dijo;49955;0.999605070386649
cuando;48078;0.999592330721702
o;47847;0.999579591056755
yo;47477;0.999566851391808
qué;47423;0.999554111726862
sin;44501;0.999541372061915
todo;39306;0.999528632396968
ya;38898;0.999515892732021
él;34594;0.999503153067074
ha;33888;0.999490413402128
te;32634;0.999477673737181
sobre;31480;0.999464934072234
estaba;30568;0.999452194407287
ella;29591;0.99943945474234
muy;29150;0.999426715077393
nos;28890;0.999413975412447
porque;28638;0.9994012357475
hasta;28388;0.999388496082553
vez;28378;0.999375756417606
dos;26906;0.999363016752659
ni;25850;0.999350277087713
tan;24880;0.999337537422766
todos;24848;0.999324797757819
así;24621;0.999312058092872
eso;24509;0.999299318427925
ser;24348;0.999286578762979
bien;24130;0.999273839098032
está;24121;0.999261099433085
este;23303;0.999248359768138
tiempo;23218;0.999235620103191
sí;22819;0.999222880438244
entre;22717;0.999210140773298
nada;22479;0.999197401108351
también;22294;0.999184661443404
ahora;22131;0.999171921778457
esta;21411;0.99915918211351
sólo;21181;0.999146442448564
después;20879;0.999133702783617
fue;20646;0.99912096311867
son;20401;0.999108223453723
he;20123;0.999095483788776
hay;19945;0.99908274412383
casa;19594;0.999070004458883
entonces;19450;0.999057264793936
vida;19279;0.999044525128989
desde;19217;0.999031785464042
algo;18964;0.999019045799096
tenía;18915;0.999006306134149
mismo;18866;0.998993566469202
uno;18604;0.998980826804255
hacia;18530;0.998968087139308
hombre;18109;0.998955347474361
ese;18065;0.998942607809415
otro;17978;0.998929868144468
usted;17528;0.998917128479521
años;17519;0.998904388814574
día;17161;0.998891649149627
poco;17057;0.99887890948468
puede;16982;0.998866169819734
aquí;16965;0.998853430154787
otra;16829;0.99884069048984
antes;16569;0.998827950824893
pues;16250;0.998815211159947
mí;16141;0.998802471495
mucho;16011;0.998789731830053
cómo;15954;0.998776992165106
tiene;15920;0.998764252500159
ojos;15896;0.998751512835213
hacer;15875;0.998738773170266
señor;15678;0.998726033505319
mientras;15606;0.998713293840372
siempre;15444;0.998700554175425
tu;15379;0.998687814510478
esto;15355;0.998675074845531
donde;15238;0.998662335180585
esa;14686;0.998649595515638
menos;14664;0.998636855850691
mundo;14642;0.998624116185744
aunque;14473;0.998611376520797
les;14280;0.998598636855851
momento;14127;0.998585897190904
cada;14069;0.998573157525957
mis;14051;0.99856041786101
mano;14000;0.998547678196064
luego;13996;0.998534938531117
parte;13978;0.99852219886617
unos;13932;0.998509459201223
ver;13807;0.998496719536276
noche;13772;0.998483979871329
padre;13637;0.998471240206383
habían;13324;0.998458500541436
cabeza;13310;0.998445760876489
todas;13098;0.998433021211542
cosas;13068;0.998420281546595
nunca;12983;0.998407541881648
